"","contcod","Gini-MI","Gini-MI-0","Gini-MI-0.5","Gini-MI-1","MLD-MI","MLD-MI-0","MLD-MI-0.5","MLD-MI-1","TheilT-MI","TheilT-MI-0","TheilT-MI-0.5","TheilT-MI-1","Mean-MI","Mean-MI-0","Mean-MI-0.5","Mean-MI-1","Bottom 50%-MI","Bottom 50%-MI-0","Bottom 50%-MI-0.5","Bottom 50%-MI-1","Middle 40%-MI","Middle 40%-MI-0","Middle 40%-MI-0.5","Middle 40%-MI-1","Top 10%-MI","Top 10%-MI-0","Top 10%-MI-0.5","Top 10%-MI-1","Top 1%-MI","Top 1%-MI-0","Top 1%-MI-0.5","Top 1%-MI-1","gini_ref08","t10_ref08"
"1","ARG",0.718822355820023,0.665934870514815,0.717791830859086,0.795237693316851,1.02915917997586,0.85468969069723,1.02239764425079,1.33695552705233,1.79338488164512,1.21811749770687,1.73405397549009,2.96248438776558,14145.7080807658,11742.4604367564,13947.7232493586,19227.515643832,0.0932555609829575,0.0678341118801077,0.09342965224317,0.111188079463638,0.14166720825227,0.102061120023038,0.14227952886921,0.168880956446079,0.65221435564741,0.586317352483421,0.65023351892073,0.74693126178772,0.381179399675665,0.271435797269134,0.380147310741737,0.546310685662963,0.4486,0.3214
"2","AUT",0.396865966318643,0.383930718699453,0.397467214142215,0.418570401995725,0.268066166968318,0.248846411835599,0.268707096384774,0.299350703408709,0.366784861822935,0.31695357104753,0.369180854993526,0.437802911058066,18632.0460208872,18180.0423277192,18607.5439501074,19397.3982895079,0.252291007065387,0.241300181411656,0.252154167130086,0.258292525413679,0.289473225022362,0.27855264069941,0.289425192942,0.296614813808709,0.342270352590635,0.327148410478448,0.343149221437441,0.362188909362063,0.107239688543014,0.0909668477009265,0.107596507218652,0.126724046814561,0.3048,0.2396
"3","AZE",0.511735049463682,0.490808704780908,0.510666106375149,0.533643872400509,0.444915055809695,0.40535215777383,0.443704359269106,0.48848840566073,0.668425838458495,0.577028633639479,0.669838783026435,0.773386298694199,3516.65681926688,3381.08861394111,3509.47013637615,3697.86816142136,0.193016921666922,0.183735158015307,0.193672585388251,0.201298401347133,0.228893972153836,0.218089444290943,0.22928010227559,0.238661960324235,0.452218273978809,0.428024390620758,0.451263586330377,0.476420531084627,0.174042343078276,0.147044368091417,0.175845859009981,0.206256191387349,NA,NA
"4","BDI",0.500458515180098,0.487613169326447,0.500909448275179,0.513347747348253,0.41749618183079,0.395269773752105,0.418021079829436,0.4401985498222,0.609659166745397,0.574206980684304,0.61030812859337,0.647599000841825,498.111517018703,480.640017923973,499.862161856086,516.29835885287,0.198528074143569,0.192633982652974,0.197989670481312,0.205161909413605,0.223337757607367,0.216834181245144,0.222701212051727,0.229743558823762,0.448044927352198,0.435701286914476,0.448409591102163,0.462074321695582,0.154793321544726,0.143949069246463,0.155738822044496,0.164950563652089,0.334,0.28
"5","BEL",0.373836023080758,0.365415961597252,0.374492374179474,0.380609572906668,0.235258510855726,0.225529234099934,0.235944419848667,0.242969408764052,0.27705446043308,0.264224448869176,0.277860087551827,0.287715746669528,15658.3249036521,15343.5592362981,15674.5120504235,15950.7632217251,0.262323750440142,0.258309083146545,0.26184800525961,0.267179576762193,0.301286913918756,0.297621112745445,0.301340395167196,0.305920439807851,0.315789269896181,0.307743804679301,0.316057260687168,0.322552588978475,0.0732198026997275,0.0694454061794787,0.073233947826183,0.0764530401124775,0.2852,0.228
"6","BFA",0.683104493889979,0.620230858494452,0.679068380975033,0.79449590337903,0.859528045306842,0.672333967774093,0.838946728132606,1.28257777116922,1.79395953328881,1.09656961733543,1.66701709929287,3.4354936327005,1442.24026368301,1164.90306106713,1398.00062312488,2192.63816696144,0.116541578526136,0.0751332748979734,0.117876567485362,0.140622562756869,0.144214179695993,0.0930044702635448,0.145906393846906,0.173426668097214,0.634870758029221,0.563318211184957,0.630344537073464,0.762976569324028,0.377936362784716,0.264755873276251,0.370616586853311,0.589702318453591,0.398,0.32
"7","BGD",0.438531098998651,0.427671219205121,0.438829266039909,0.446749242814327,0.314729575452178,0.298657229859904,0.315236650916293,0.32726976236376,0.406346565243674,0.382519793029748,0.406801553483549,0.425056046355391,794.533301701337,771.879562414399,794.69961263487,811.283442589239,0.227237187955949,0.223440998423018,0.226874680251811,0.232671590943037,0.256624985914438,0.251418469634832,0.256349566363525,0.261929993172934,0.380776688733716,0.3700811122447,0.381482101396903,0.389008165143235,0.0975107471096835,0.0899988010362483,0.0980794283805742,0.103960747436926,0.321,0.269
"8","BGR",0.390046579083611,0.374223846133019,0.390048378447927,0.407140037188025,0.263088211944913,0.240318459566261,0.263214211442112,0.286950617417937,0.339602425642904,0.293771734944963,0.339122693592461,0.398480186896106,4056.17503053945,3972.30768298351,4055.49018637184,4206.29908893152,0.254246557573666,0.245985288856587,0.254415847159021,0.260892004744008,0.299896296442711,0.290828189021615,0.300774113484837,0.307718283693186,0.329541167929934,0.311730949434418,0.329248507758193,0.346238040112686,0.0984793698512798,0.0854008790584305,0.0990979132521686,0.11589497770471,0.3498,0.2652
"9","BOL",0.875765120124391,0.788379882147159,0.868723041785778,0.999763843097039,2.08428983771355,1.33219792363661,1.81320943103801,8.67802321277025,3.8409839158102,1.86403392106467,3.32407213431882,9.19418955675716,218416.663377879,6377.32907150383,10683.8788766253,10213425.6657578,0.0335113570850687,3.68584717049476e-05,0.034866268905517,0.0570321574411239,0.0578206697822237,6.30002587504784e-05,0.0610575855157715,0.0995711562814526,0.838737502663384,0.723698703696224,0.829552257451568,0.99982366562515,0.641904977118513,0.396879346856686,0.621204005661693,0.999602031232109,0.528,0.402
"10","BRA",0.87545286309218,0.800458942771147,0.869990250239357,0.999729668989156,2.02864702554814,1.3623510320157,1.78553504138495,8.42392830399529,3.82394129739974,2.02733169997229,3.30712875860531,9.19572741470638,300782.489369219,11876.8701571921,17940.4585887496,13908798.4650358,0.0345983561971081,4.74002870519213e-05,0.0363650653215472,0.0549700538923712,0.0565328657521189,7.69175851449031e-05,0.0589774244846424,0.0905474295066448,0.840834162601428,0.741574696427086,0.834499879442439,0.999783880012354,0.645259541502202,0.434424171926015,0.628029491149828,0.999502094567279,0.5455,0.43
"11","CAF",0.879311854956423,0.800399955415596,0.872055697615212,0.999758091700494,2.09167736642841,1.38062885228338,1.82955375241769,8.62968991824646,3.90829654602511,2.06849720660571,3.34463608869555,9.19370893358911,49965.4919166434,1659.769136933,2613.91741662454,2331101.30392844,0.0324973279927655,3.83901153744033e-05,0.0343496174919328,0.0543783571136401,0.0556701693536869,6.50593922821715e-05,0.0584098188566512,0.0928249779577606,0.843627511692511,0.740433700241397,0.834703597194392,0.999816751823156,0.64987248935139,0.43174090532877,0.631774562062705,0.999582632632528,0.562,0.462
"12","CAN",0.492622018069988,0.473670482327771,0.491501268742759,0.53117888245786,0.435464242164131,0.400003457938258,0.433397445874396,0.511469800066136,0.608393268847986,0.496445747033796,0.584309482243137,0.924112525288759,29952.8643053537,28749.5006538592,29735.211081852,32403.962696402,0.196488268206046,0.181013119413843,0.196961448287561,0.203883161397764,0.259805000926419,0.239141611880089,0.260781226942041,0.271086242963078,0.412002454377915,0.389071812209527,0.409673611988752,0.455840122196003,0.154286339184204,0.126503855293182,0.149920268687327,0.211970064533406,0.337,0.2585
"13","CHE",0.540531777674682,0.509431265654386,0.538807486239945,0.570161976567049,0.54478710319216,0.483523727944337,0.54015948931964,0.612461006391953,0.738184603232632,0.588467045873224,0.720364033992607,0.97327840708454,32132.0670776957,29845.5254840593,32015.0156940389,34783.0986911409,0.17029685732996,0.159177433017349,0.170721912613579,0.182636087625735,0.24145622057216,0.225730643489528,0.242023450015988,0.259502546464572,0.452397758049375,0.41495571634569,0.450496883641123,0.487577406263644,0.180357194491197,0.141260563672903,0.17749312970913,0.235512534560312,0.335,0.26
"14","CHL",0.864555439407724,0.783223013918923,0.851612439255501,0.999759330746157,1.94530222981096,1.25387853833387,1.63415770505046,8.59628637263039,3.83446499365045,2.00168369604563,3.28126710074154,9.19600218882548,519311.439909215,15264.7144002865,22786.7365956999,24384207.5283897,0.0405067680604536,4.20067633519055e-05,0.0450166751319102,0.0656245725746238,0.0620454326677305,6.36714666030912e-05,0.0690268050021667,0.0995644941508471,0.831045322236856,0.730012762026732,0.815311534015654,0.999824475113245,0.640565261846751,0.431768495326271,0.611803546846814,0.999618770763784,0.486,0.3905
"15","CHN",0.65236731906207,0.616814860592084,0.649672639871747,0.745140664770743,0.811645983969975,0.713980304180501,0.801213705071531,1.11685015594396,1.16361023117734,0.867712057846071,1.08251134439921,2.81109141521965,3548.15754182763,3155.58515030545,3494.84973585017,4727.75684525581,0.108729667654208,0.0800490480798532,0.109528508332359,0.120161624560025,0.176508934449429,0.128429267824882,0.178794542892745,0.195640183721751,0.552817316560086,0.505973502933664,0.550310451838689,0.672463342674371,0.24522330204512,0.18163229639167,0.237114723203749,0.446500955010463,0.433,0.3225
"16","CIV",0.641692213003706,0.605179557152246,0.643088374425046,0.666243415459244,0.750305794978395,0.655895075708611,0.753518457649475,0.819486794145897,1.1764585767342,0.945961926186766,1.17984321627651,1.3455040447222,1901.86980872063,1714.68393626306,1909.42274386452,2071.47921764084,0.128766837239002,0.11962063180834,0.128167488314143,0.14207003901977,0.173086957798554,0.16049696364416,0.172547861914821,0.191160299518913,0.575627399954061,0.530514262758166,0.577149074737306,0.605830766228081,0.278642550652691,0.219112837962245,0.279658478593555,0.318565295580148,0.432,0.326
"17","COL",0.881374969950024,0.815830708159192,0.875976314876105,0.99975016483014,2.10499878058898,1.46682873157839,1.86166182257481,8.58704022159291,3.80767197914896,2.14447866170875,3.34991684102145,9.19233526543895,230867.465406317,8568.84614424759,12817.6434216154,10737020.3276145,0.0309744385061677,3.89178306157568e-05,0.0326659389741546,0.0488217708600728,0.054044140190066,6.78646958451119e-05,0.0566911777660425,0.0848679054386794,0.845343680070002,0.758479757341196,0.83911219010614,0.999805370170783,0.644450602574903,0.45219506304269,0.630458026933681,0.999540218698182,0.548666666666667,0.434666666666667
"18","CRI",0.792300422546396,0.758247729837757,0.794422838798926,0.825671309878827,1.29681713681804,1.14296869119977,1.30356393106645,1.46679045447939,2.25028156506212,1.82696772096139,2.29566203920465,2.70083180449511,13032.0047460596,11093.7965698273,13007.4130038518,15219.092526722,0.066646703108465,0.056089684026348,0.0660487220238568,0.077803811653284,0.0954165939587266,0.0792022086441218,0.0943548146129101,0.111067605456522,0.747549549082442,0.705634085021231,0.749890505524056,0.789008476065348,0.480270865212851,0.39480391821611,0.485817476402749,0.56502026042614,0.4924,0.3832
"19","CZE",0.338098553142623,0.327916828659272,0.338186986466365,0.345684240408948,0.190434918099084,0.17925512372175,0.190678908295293,0.19894296056117,0.231053354034462,0.215954999415298,0.231340244795873,0.245842063895497,7873.78919063704,7686.22005220307,7873.21829503931,8011.52675130457,0.284499000353358,0.279656809526118,0.284492332636376,0.289884065019974,0.310744135077938,0.30594032544216,0.311157869014501,0.316640958684848,0.293887469752513,0.28459948809877,0.293852677032728,0.302979738386517,0.0682892761214401,0.0640933359920051,0.0684843210325927,0.0734772478386822,0.2636,0.225
"20","DEU",0.450795177460789,0.437487806324944,0.449698869207936,0.472821611463375,0.344626876932056,0.322684820493407,0.342303318162731,0.381398889261298,0.496975466757291,0.442646911613701,0.494082127600186,0.573335786128395,20503.1299196166,20027.7204657189,20375.9722445629,21404.9987318899,0.224071877441702,0.213623616981183,0.22456836881749,0.230356773842815,0.261208016627264,0.250711887654025,0.261496413483912,0.268970301172486,0.392901451024387,0.377267877405702,0.391899993399493,0.414950887615315,0.13712108520764,0.120206130399612,0.136251106698256,0.160114580166237,0.309,0.2464
"21","DNK",0.341955591268394,0.333080430677448,0.342332228038602,0.347723412473818,0.192570808712441,0.182677503206794,0.19305564221947,0.199443432091654,0.231910815082338,0.219248039389473,0.232104705977681,0.242265159067245,16501.9280066013,16261.4769043186,16503.8649400387,16745.9575580397,0.281628065467888,0.277945710873423,0.2813591654743,0.286480654170781,0.306212578867487,0.302283906061911,0.306170400646906,0.309861242948503,0.297021894531991,0.289049679825967,0.29732455816204,0.304552418164618,0.0649650133754073,0.0609951895710078,0.0651217045188421,0.067840697696657,0.2624,0.2182
"22","DOM",0.846761049872233,0.775450143899983,0.836183299653131,0.97358316076319,1.66380631453386,1.19841875951471,1.51507119339512,3.34251960329313,3.53405690218588,2.03555609849522,3.12656447671126,7.77201824901982,14607.0747219713,7796.0275903125,10823.562306643,66418.2679166642,0.0489428100922294,0.00853135128963171,0.0521665044161699,0.0724234476888884,0.0686687495685455,0.0119049440157067,0.0734858358459189,0.100685967363807,0.814616999690566,0.728713869373416,0.802158955887895,0.96847156228357,0.616123868257339,0.445486143787666,0.594036910999837,0.934417724772518,0.4904,0.3856
"23","ECU",0.855447006641824,0.777981842166291,0.847662868878778,0.977206152137858,1.74615867497062,1.21824832487053,1.59577909939971,3.50182211237703,3.67072664380965,1.99460295041482,3.30055404177961,7.7087549861204,15973.7799905455,7883.95648544317,11564.9293408782,77585.4836776149,0.0446628380931005,0.00701839909901198,0.0474644205662919,0.0691607692084664,0.0654394464319362,0.0102458946570862,0.0695481976113196,0.100432833745231,0.822393384073925,0.727182638819725,0.813474577631602,0.972316050152793,0.627054074531184,0.431202955440677,0.607605782586682,0.941035066227775,0.5046,0.3916
"24","EGY",0.36699158325898,0.361642865481603,0.366779592438614,0.377143117387733,0.215822540893041,0.20946562798972,0.215780551665258,0.22778687825431,0.252940021133142,0.244373238527494,0.253149245650491,0.267478579133766,1560.09300021937,1529.56610030898,1556.9542722133,1591.48463723474,0.263094068256762,0.257397711832575,0.263270700912677,0.266329846596746,0.289612678392438,0.283996212042342,0.289751709684932,0.293300603335526,0.311364107343328,0.305641398485026,0.311337333405564,0.319982613657367,0.0571381247171567,0.0544778116195077,0.0572499512768472,0.0589760004260942,0.313,0.2715
"25","ESP",0.425373805248502,0.412094085119791,0.424092430085437,0.447531347481946,0.318164013688076,0.297009194758904,0.316970948413176,0.3555587837268,0.418954231923894,0.357752074200794,0.415431851653348,0.528072503200143,13650.8325825341,13252.0236123048,13627.7219861528,14302.2023543133,0.233069378043709,0.223713799026649,0.233976454116062,0.239468827082396,0.28905985446816,0.276967685767117,0.289887409289544,0.296662874577951,0.354225876084272,0.338109975760373,0.353117363938396,0.379082564433743,0.11452403275956,0.096111942903817,0.113826689302538,0.142976275829671,0.3438,0.2558
"26","EST",0.430423905612302,0.412538745397463,0.429711831397686,0.450592176208911,0.318336683891416,0.290181338564948,0.3169467154387,0.351822435223627,0.451231792497977,0.373645768066561,0.446611646286626,0.573382338138184,7966.76486041525,7671.19615057465,7951.54194903641,8272.31614151339,0.232681568891213,0.224109759481879,0.232482035162443,0.240675053419487,0.278509215073937,0.26616892232523,0.27864566815776,0.287307675299335,0.366919163629014,0.347257309330888,0.365733671967665,0.390480262876474,0.124646661853537,0.103358337387241,0.124062817165246,0.154929587103881,0.3204,0.2488
"27","FIN",0.401232792500635,0.38673015096685,0.400430980024613,0.418049931943331,0.272135700246169,0.251305633227433,0.271410795959412,0.29735288622986,0.387342985324456,0.333749732788847,0.384369575108526,0.450721545175286,16319.6536861426,15911.4673888033,16323.0477808414,16858.9736684603,0.250821577748046,0.24234270295749,0.251358264276301,0.257776380487686,0.283259908712335,0.275251778702473,0.283468028160704,0.291031122963559,0.350108773446105,0.332568365829141,0.350128361872328,0.365333721326689,0.113486402874288,0.0974871536092815,0.112568882450864,0.131012738948385,0.2786,0.2286
"28","FRA",0.473912233585433,0.457937341595229,0.473360325896305,0.488332423660086,0.379379044406065,0.353566996515696,0.378384082450969,0.403870421867546,0.520768994360009,0.482863384273585,0.519594530864903,0.565006395558164,22146.1546757377,21186.9116860359,22105.5561168406,23033.144294609,0.210557385176662,0.204220581714862,0.210780610820389,0.21840912840491,0.24952551979346,0.243228762653655,0.249530902973285,0.258572864790314,0.411587588991702,0.395289660201369,0.411159008180829,0.429508648336361,0.135596382240582,0.125335665817763,0.135182587293424,0.151157033073712,0.323,0.2592
"29","GBR",0.482184308345258,0.471106360116319,0.48139565321965,0.494818985712101,0.399364954011445,0.380375171749337,0.398105752982875,0.42179450389804,0.530912246262551,0.496268162175429,0.52970207743805,0.583709968589628,26891.6308663226,26125.7890536042,26827.0671824506,27815.77637714,0.204797305783395,0.198951514345383,0.205144456605921,0.209253490276677,0.251819593372021,0.244433890503096,0.252403823596298,0.257710454825407,0.413306010693421,0.399430557474545,0.412472404315522,0.428122510947125,0.135909793746266,0.123169790244152,0.13566279694294,0.15334575712775,0.3462,0.2682
"30","GIN",0.638235068249563,0.59629624880331,0.635202023167175,0.69735899793348,0.735171723647229,0.625546776479337,0.723460720557366,0.908666689349703,1.35309134567199,0.969023889219499,1.28816516117528,2.03930022496382,1259.24851230367,1120.30012882735,1240.81148239536,1514.08331070988,0.133190261655793,0.110385463700947,0.134804641455649,0.148587335040706,0.172778534275728,0.143611349094703,0.174184055528774,0.193430483234624,0.577580596092121,0.526007814921705,0.574499045963619,0.644806266176439,0.306597815688621,0.235193151433002,0.300186700012092,0.409973352553897,0.394,0.301
"31","GRC",0.469219637910834,0.45053773984055,0.469937078216948,0.488543716969766,0.384124823167044,0.352492528176327,0.38521454629645,0.416199838188132,0.51848433147137,0.441477036062229,0.518290266705106,0.59782826228381,12994.0901736988,12533.4388219628,12999.8871069605,13573.0128573042,0.211362397216242,0.202600038519364,0.211349610092189,0.218856913475552,0.26353502846509,0.252905990532961,0.263633018381581,0.272933804227102,0.398495608235099,0.376327868583535,0.398361296202808,0.418569530761718,0.137468795957524,0.113052142174725,0.137495826147582,0.159414390198383,0.3408,0.2606
