"","contcod","Gini-MI","Gini-MI-0","Gini-MI-0.5","Gini-MI-1","MLD-MI","MLD-MI-0","MLD-MI-0.5","MLD-MI-1","TheilT-MI","TheilT-MI-0","TheilT-MI-0.5","TheilT-MI-1","Mean-MI","Mean-MI-0","Mean-MI-0.5","Mean-MI-1","Bottom 50%-MI","Bottom 50%-MI-0","Bottom 50%-MI-0.5","Bottom 50%-MI-1","Middle 40%-MI","Middle 40%-MI-0","Middle 40%-MI-0.5","Middle 40%-MI-1","Top 10%-MI","Top 10%-MI-0","Top 10%-MI-0.5","Top 10%-MI-1","Top 1%-MI","Top 1%-MI-0","Top 1%-MI-0.5","Top 1%-MI-1"
"1","ARG",0.711367969570082,0.667899865756678,0.712431291057512,0.750299405528911,0.981868509575231,0.841839027805471,0.981138916658204,1.12418535354283,1.73733543729805,1.24907700628142,1.74192406164499,2.23624068798743,10467.1285094136,8949.89476109957,10404.813427384,12189.7953138031,0.0983296208382669,0.0849215550464674,0.0983458222085997,0.114192552406575,0.142129063237638,0.122261889271482,0.141421728422909,0.164996016879765,0.648924009568999,0.597122477267943,0.65025311191874,0.698072371802767,0.377076181579368,0.288047697960918,0.378529428359996,0.460895015373541
"2","AUT",0.463983893910735,0.441574833164288,0.462879507417453,0.511945887170903,0.36945467145366,0.329423295778375,0.366906856797349,0.458223922778032,0.566750352276141,0.437716360075629,0.55176595443088,0.894360740635761,19672.0805061603,18772.0668167776,19640.8870645325,21588.9362588183,0.215892441485595,0.195974645283458,0.216429661084285,0.225566452894509,0.260078476354142,0.235332285788378,0.2612554954851,0.271840143873899,0.400295972421756,0.373884873014052,0.398873889335647,0.453997321545186,0.150199164820037,0.117314972347341,0.147310081731803,0.214957643492905
"3","AZE",0.51449423957635,0.499417052530772,0.514081116040358,0.537624954877127,0.461014171481843,0.430748278267103,0.459298880163994,0.507220588593087,0.659225786041427,0.577244211821172,0.654044675441284,0.760912036781252,1505.96149391591,1459.5931328381,1500.00492988361,1581.10303312288,0.189175802960275,0.17937612644512,0.188912546806493,0.19529659801846,0.237857586075144,0.226050956982995,0.238493853177137,0.245825005442552,0.4447940351855,0.428022436931465,0.444272369607395,0.470378413440947,0.16957013159284,0.146360337397884,0.167659966404524,0.198907218415286
"4","BDI",0.496428393769528,0.483828237992539,0.496131438918749,0.513801592233388,0.418985564440401,0.395458669320472,0.419035247701442,0.451055478326304,0.607174393133294,0.543598355511971,0.603878426879827,0.679438679303637,443.596646258711,427.579090266011,443.997153924137,465.092996536391,0.199950832169097,0.191937514421139,0.200103740506091,0.206101768327502,0.238722885588337,0.230045137429378,0.239239513586611,0.246057224485113,0.43466854834993,0.418977029846636,0.434946198334185,0.454273083687245,0.158981399529957,0.138770814843152,0.158956985505111,0.182992038827628
"5","BEL",0.398823921087009,0.3865244120477,0.398977931111085,0.413154077552651,0.271000238541456,0.252132054279621,0.271762240411535,0.2908852049486,0.366605698480278,0.326204474502817,0.369271535185788,0.405832056813101,15608.0632980518,15231.2137978886,15536.1030233164,16179.7433136578,0.251059618810774,0.243504086857751,0.251250995099244,0.257105072973826,0.28918147361123,0.281849849831243,0.289183446671234,0.296218379473132,0.343243628724096,0.329828822797617,0.343391179063348,0.356841145570597,0.106612517887548,0.0928400048552937,0.107095157025832,0.117914069830922
"6","BFA",0.855765033948487,0.779834534391882,0.844692024345552,0.977675935441975,1.75155889188997,1.2281879933672,1.57757422683892,3.52451114838011,3.66398121510144,1.97700351791559,3.25465912905737,7.7213163221621,2595.65754594088,1276.49197352829,1814.5872689851,12731.1613647155,0.0445435469413151,0.00686218720441603,0.0484222484395171,0.0685442692610782,0.0654796622245887,0.010065013634084,0.0706248934306474,0.0998868269632784,0.822639757261144,0.729332866466986,0.810219814244123,0.972846586011074,0.627840681273643,0.433546378955937,0.603987072952568,0.94217492090151
"7","BGD",0.531549368394506,0.504895817345663,0.53093599700221,0.559151524367453,0.479406607551187,0.427888719893308,0.478101959725571,0.536942253360364,0.775513902776307,0.656518527823247,0.774003214899838,0.918274856125721,768.930139677302,719.272285511577,768.508654703008,822.624207663477,0.185401527855184,0.173843055119652,0.185310020138287,0.197277584368737,0.211495933750421,0.198279479481809,0.211906615470701,0.225244770411788,0.480487977034678,0.453065354012909,0.478885626825968,0.510482253960015,0.201070988841044,0.170235470241678,0.201520359463949,0.24128142942815
"8","BGR",0.322332692276281,0.31344263482158,0.323129209212483,0.331275931111241,0.173022231328489,0.163439029385858,0.173572557030458,0.182419382527221,0.205453620456122,0.191173733569446,0.20613949446576,0.219272659939143,4157.33660026202,4072.03859697585,4161.66866736608,4238.75359658833,0.293386561091406,0.288907067536343,0.293001128225254,0.298154542552604,0.317946178656694,0.312645822316166,0.317848982033437,0.322913806460055,0.280746610718847,0.273180666135227,0.280827695989665,0.290261934068339,0.061551998691134,0.0566971160588389,0.061871138842354,0.0662816079036581
"9","BOL",0.866903339182165,0.780953755754375,0.858047546429711,0.999748623151823,1.96851575245563,1.25457135126136,1.69064671395177,8.54043210142265,3.79865018057165,1.94957739599331,3.21812875463354,9.19388877322242,199196.517881714,6184.25551351714,9484.14899669249,9313889.81144704,0.0386347158061508,4.31682233151534e-05,0.0411480912632488,0.0642319429169824,0.0612332096203835,6.89663707762748e-05,0.0652930311320303,0.101432168099457,0.831881322541407,0.72162438239508,0.820152510589332,0.999808632818647,0.637614517160219,0.41728695680676,0.612515175830489,0.999568176695345
"10","BRA",0.893943469647732,0.83818901762604,0.892733042644436,0.999759496921485,2.26623292097948,1.67548152728362,2.08532238693211,8.72827745088071,3.82320516718837,2.22839948763597,3.42737075132666,9.19162234019495,205254.451120648,8254.36033947219,12375.5888272153,9543579.52259095,0.0245534632771429,3.18821271828029e-05,0.0245823111634538,0.0370914138110321,0.0480268302177716,6.28601135238794e-05,0.0478708530271854,0.0731866136805305,0.857175389689028,0.78051615306262,0.855831691008792,0.999811014534384,0.653187992195367,0.465050840513309,0.648305614340964,0.999523914957887
